key_algorithm_oid,ta,ca,ee,crl_ta,crl_ca
1.3.6.1.4.1.2.267.11.8.7,F,F,F,F,F
1.3.6.1.4.1.2.267.7.8.7,F,F,F,F,F
1.3.6.1.4.1.2.267.7.4.4,F,F,F,F,F
2.16.840.1.114027.80.5.1.2,F,F,F,F,F
2.16.840.1.114027.80.5.1.1,F,F,F,F,F
1.3.6.1.4.1.2.267.11.6.5,F,F,F,F,F
1.3.6.1.4.1.2.267.7.6.5,F,F,F,F,F
2.16.840.1.114027.80.4.1,F,F,F,F,F
1.3.9999.3.1,F,F,F,F,F
1.3.9999.3.4,F,F,F,F,F
1.3.6.1.4.1.2.267.11.4.4,F,F,F,F,F
2.16.840.1.114027.80.5.1.14,F,F,F,F,F
2.16.840.1.114027.80.5.1.6,F,F,F,F,F
2.16.840.1.114027.80.5.1.5,F,F,F,F,F
2.16.840.1.114027.80.5.1.3,F,F,F,F,F
2.16.840.1.114027.80.5.1.9,F,F,F,F,F
2.16.840.1.114027.80.5.1.8,F,F,F,F,F
