key_algorithm_oid,type,test_result
1.3.6.1.5.5.7.6.37,priv,Y
1.3.6.1.5.5.7.6.38,priv,Y
1.3.6.1.5.5.7.6.39,priv,Y
1.3.6.1.5.5.7.6.40,priv,N
1.3.6.1.5.5.7.6.41,priv,Y
1.3.6.1.5.5.7.6.42,priv,Y
1.3.6.1.5.5.7.6.43,priv,Y
1.3.6.1.5.5.7.6.44,priv,Y
1.3.6.1.5.5.7.6.45,priv,N
1.3.6.1.5.5.7.6.46,priv,N
1.3.6.1.5.5.7.6.47,priv,N
1.3.6.1.5.5.7.6.48,priv,Y
1.3.6.1.5.5.7.6.49,priv,N
1.3.6.1.5.5.7.6.50,priv,N
1.3.6.1.5.5.7.6.51,priv,Y
1.3.6.1.5.5.7.6.52,priv,Y
1.3.6.1.5.5.7.6.53,priv,Y
1.3.6.1.5.5.7.6.54,priv,N
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.20,priv,Y
2.16.840.1.101.3.4.3.21,priv,Y
2.16.840.1.101.3.4.3.22,priv,Y
2.16.840.1.101.3.4.3.23,priv,Y
2.16.840.1.101.3.4.3.24,priv,Y
2.16.840.1.101.3.4.3.25,priv,Y
2.16.840.1.101.3.4.3.26,priv,Y
2.16.840.1.101.3.4.3.27,priv,Y
2.16.840.1.101.3.4.3.28,priv,Y
2.16.840.1.101.3.4.3.29,priv,Y
2.16.840.1.101.3.4.3.30,priv,Y
2.16.840.1.101.3.4.3.31,priv,Y
2.16.840.1.101.3.4.4.1,both,N
2.16.840.1.101.3.4.4.2,both,N
2.16.840.1.101.3.4.4.3,both,N
