"key_algorithm_oid","test_result"
"1.3.6.1.4.1.2.267.7.4.4","Y"
"1.3.6.1.4.1.2.267.7.6.5","Y"
"1.3.6.1.4.1.2.267.7.8.7","Y"
"1.3.9999.3.6","Y"
"1.3.9999.3.9","Y"
"1.3.9999.6.4.13","Y"
"1.3.9999.6.4.16","Y"
"1.3.9999.6.5.10","Y"
"1.3.9999.6.5.12","Y"
"1.3.9999.6.6.10","Y"
"1.3.9999.6.6.12","Y"
"2.16.840.1.114027.80.5.1.14","N"
"2.16.840.1.114027.80.5.1.1","Y"
"2.16.840.1.114027.80.5.1.2","Y"
"2.16.840.1.114027.80.5.1.3","Y"
"2.16.840.1.114027.80.5.1.5","Y"
"2.16.840.1.114027.80.5.1.6","Y"
"2.16.840.1.114027.80.5.1.8","Y"
"2.16.840.1.114027.80.5.1.9","Y"
