filename,size_bytes,sha256
id-MLDSA44-ECDSA-P256-SHA256-1.3.6.1.5.5.7.6.40_priv.der,2795,2cc68dd636e6287a3206a279e7823fa32d0c781b9983401ddc80c6f1580f6114
id-MLDSA44-ECDSA-P256-SHA256-1.3.6.1.5.5.7.6.40_ta.der,4183,ffa0e2a12d756d73e1804fcf31829ce9c214f16b472d33e4a156b64cf8d2d77f
id-MLDSA65-ECDSA-P384-SHA512-1.3.6.1.5.5.7.6.46_priv.der,4314,97c988c062248afa6d16e1508f5f1c87a3d4a19a198485f41e7d9256097d1887
id-MLDSA65-ECDSA-P384-SHA512-1.3.6.1.5.5.7.6.46_ta.der,5775,761bfc9b4bc6122e0a992c9e0f0de16475337320b9cb9e11ff24c7147bb0250d
id-MLDSA65-Ed25519-SHA512-1.3.6.1.5.5.7.6.48_priv.der,4174,507b7c620f6e826409f977260083565c98c337583960aee9a19aa31f7e99b59f
id-MLDSA65-Ed25519-SHA512-1.3.6.1.5.5.7.6.48_ta.der,5665,e3845e635409b79f7de9ad45ccfd162c460793093c814bae04c6c36d9da17f93
id-MLDSA65-RSA3072-PSS-SHA512-1.3.6.1.5.5.7.6.41_priv.der,5917,06ad1d98124e783bce21633e06368e2831acff7cd5e55e592d62d0bf0ee97f31
id-MLDSA65-RSA3072-PSS-SHA512-1.3.6.1.5.5.7.6.41_ta.der,6359,aa84b914a3c636b88926a0c27e4040bd4568ac80d0e5542127ba1c6689292972
id-MLDSA87-ECDSA-P384-SHA512-1.3.6.1.5.5.7.6.49_priv.der,5178,10c16cbb7e71c94dfd63b3372946a41313cfa0409c9036159925f9521ababeb9
id-MLDSA87-ECDSA-P384-SHA512-1.3.6.1.5.5.7.6.49_ta.der,7733,eec4f341a082366ee3894291990c394da114187040c3e32033b9282f9d4dbb4f
ml-dsa-44-2.16.840.1.101.3.4.3.17_both.der,2626,05401566d14e647b525b9a88f7a183a776d9c27e563af2968d6132d7a807bae4
ml-dsa-44-2.16.840.1.101.3.4.3.17_expandedkey.der,2584,1af1a5d308d0387827ce1b8b22a0bc335d5b77e8713df0e8c8f3497766754149
ml-dsa-44-2.16.840.1.101.3.4.3.17_seed.der,54,fbbcab22cb7e0a15f142d91eb1aec3252c847795545bffd789947a6ffbca3341
ml-dsa-44-2.16.840.1.101.3.4.3.17_ta.der,4054,9c6d0501a932668d5129f602a899434e36c6dde02f7d054da8f7a0e5349e8541
ml-dsa-65-2.16.840.1.101.3.4.3.18_both.der,4098,55ccc678268a9c602a846874a5ab120c9ff393b3f2f9616b41bd70bd5f80c17e
ml-dsa-65-2.16.840.1.101.3.4.3.18_expandedkey.der,4056,fd7ffc9de07dd15c88f4b1391ee959450323f1f31bb0bf85a81e037c8aff5614
ml-dsa-65-2.16.840.1.101.3.4.3.18_seed.der,54,44fae5f71ffeb00616b612e6efc9e888abf7092239003a69b813832e5c21665c
ml-dsa-65-2.16.840.1.101.3.4.3.18_ta.der,5583,a591604eb39358a85d087e945a8cfce45c717c5dccf46ea4933ef1f31b01eeaf
ml-dsa-87-2.16.840.1.101.3.4.3.19_both.der,4962,ccac9a01b6af5029bcbda01db6d1b21712b04e3336b446fb512ac310b2d8b289
ml-dsa-87-2.16.840.1.101.3.4.3.19_expandedkey.der,4920,2b9b875a60c500612cad27a9a874c21f8983386e2e3d491a70d23f260df750cc
ml-dsa-87-2.16.840.1.101.3.4.3.19_seed.der,54,170f38aeaa94a7e6fa16d6f13292359a4c30f1ef2ba00ddfd86394ed5fd2bb80
ml-dsa-87-2.16.840.1.101.3.4.3.19_ta.der,7541,ac9544c90a0af7578cbda383409b38467deb13978a1e35c7f8c754f32498d329
slh-dsa-sha2-128s-2.16.840.1.101.3.4.3.20_priv.der,84,5a793e3e2969a9e8079b34eb3ad5e92972a42e895e2d3a00b603365c1fdff55a
slh-dsa-sha2-128s-2.16.840.1.101.3.4.3.20_ta.der,8222,9973c031695390ba55739644f81382ee35190f9a17169d6767e77724a8dcac2c
